pX pY pZ 
-6.934730e-14 0.000000e+00 0.000000e+00
-6.560088e-14 0.000000e+00 0.000000e+00
-2.669014e-15 0.000000e+00 0.000000e+00
1.958721e-14 0.000000e+00 0.000000e+00
-3.270739e-13 0.000000e+00 0.000000e+00
2.153343e-13 0.000000e+00 0.000000e+00
2.149762e-13 0.000000e+00 0.000000e+00
-5.245608e-14 0.000000e+00 0.000000e+00
-1.191324e-13 0.000000e+00 0.000000e+00
-9.945025e-14 0.000000e+00 0.000000e+00
8.869175e-15 0.000000e+00 0.000000e+00
1.055279e-14 0.000000e+00 0.000000e+00
-8.944458e-14 0.000000e+00 0.000000e+00
2.139106e-13 0.000000e+00 0.000000e+00
-2.142833e-13 0.000000e+00 0.000000e+00
-3.126089e-14 0.000000e+00 0.000000e+00
-6.756334e-14 0.000000e+00 0.000000e+00
2.048065e-13 0.000000e+00 0.000000e+00
-2.299893e-13 0.000000e+00 0.000000e+00
-6.854104e-14 0.000000e+00 0.000000e+00
9.984181e-15 0.000000e+00 0.000000e+00
6.752737e-14 0.000000e+00 0.000000e+00
9.412015e-14 0.000000e+00 0.000000e+00
-4.534941e-13 0.000000e+00 0.000000e+00
-1.583319e-13 0.000000e+00 0.000000e+00
-2.360906e-13 0.000000e+00 0.000000e+00
-1.367207e-13 0.000000e+00 0.000000e+00
-9.985492e-14 0.000000e+00 0.000000e+00
-2.012944e-13 0.000000e+00 0.000000e+00
-1.354492e-13 0.000000e+00 0.000000e+00
4.807971e-13 0.000000e+00 0.000000e+00
-1.977879e-14 0.000000e+00 0.000000e+00
-9.193770e-15 0.000000e+00 0.000000e+00
-7.632819e-14 0.000000e+00 0.000000e+00
8.278342e-14 0.000000e+00 0.000000e+00
8.328750e-14 0.000000e+00 0.000000e+00
4.579490e-14 0.000000e+00 0.000000e+00
-5.088854e-14 0.000000e+00 0.000000e+00
3.709093e-13 0.000000e+00 0.000000e+00
3.745170e-14 0.000000e+00 0.000000e+00
-2.283752e-13 0.000000e+00 0.000000e+00
3.555238e-13 0.000000e+00 0.000000e+00
-5.532666e-14 0.000000e+00 0.000000e+00
-8.481271e-14 0.000000e+00 0.000000e+00
2.902215e-13 0.000000e+00 0.000000e+00
-6.616404e-15 0.000000e+00 0.000000e+00
-1.940462e-13 0.000000e+00 0.000000e+00
-2.783722e-16 0.000000e+00 0.000000e+00
5.042875e-15 0.000000e+00 0.000000e+00
-3.043229e-13 0.000000e+00 0.000000e+00
-7.680910e-14 0.000000e+00 0.000000e+00
2.932647e-13 0.000000e+00 0.000000e+00
2.228300e-13 0.000000e+00 0.000000e+00
1.183001e-13 0.000000e+00 0.000000e+00
2.164994e-13 0.000000e+00 0.000000e+00
1.035889e-13 0.000000e+00 0.000000e+00
-1.065581e-13 0.000000e+00 0.000000e+00
-1.691583e-13 0.000000e+00 0.000000e+00
-6.550571e-14 0.000000e+00 0.000000e+00
-4.515883e-14 0.000000e+00 0.000000e+00
1.367969e-13 0.000000e+00 0.000000e+00
5.781394e-14 0.000000e+00 0.000000e+00
1.933882e-13 0.000000e+00 0.000000e+00
-1.962453e-13 0.000000e+00 0.000000e+00
-2.392447e-13 0.000000e+00 0.000000e+00
8.728718e-15 0.000000e+00 0.000000e+00
6.941950e-14 0.000000e+00 0.000000e+00
-3.779822e-14 0.000000e+00 0.000000e+00
2.032119e-13 0.000000e+00 0.000000e+00
1.428396e-13 0.000000e+00 0.000000e+00
3.053732e-14 0.000000e+00 0.000000e+00
7.639299e-14 0.000000e+00 0.000000e+00
1.340190e-13 0.000000e+00 0.000000e+00
2.257189e-14 0.000000e+00 0.000000e+00
5.458782e-15 0.000000e+00 0.000000e+00
8.762725e-14 0.000000e+00 0.000000e+00
-2.494258e-14 0.000000e+00 0.000000e+00
-1.812943e-13 0.000000e+00 0.000000e+00
-2.520686e-13 0.000000e+00 0.000000e+00
9.562032e-14 0.000000e+00 0.000000e+00
6.897036e-14 0.000000e+00 0.000000e+00
-1.075351e-14 0.000000e+00 0.000000e+00
-3.407723e-13 0.000000e+00 0.000000e+00
